fos,# of Pubs,# of Pubs (recent),Cited by,Cited by (recent),H-index,H-index (recent),H-index (m),G-index,G-index (recent),i10-index,i10-index (recent)
,1920,1475,41474,17715,87,55,2.486,157,93,760,435
Nuclear Physics,19,14,153,60,6,5,0.6,13,8,5,3
Condensed Matter Physics,166,128,5053,2619,32,22,2.909,69,49,73,46
"Fluid, Particulate, and Hydraulic Systems",255,203,2273,1346,23,20,1.643,35,27,74,45
Atmospheric Chemistry,38,38,394,394,13,13,2.6,19,19,16,16
Design and Manufacturing Systems,4,0,91,0,3,0,1.5,4,0,2,0
"Distributed and Parallel Processing, Vectorization",5,3,22,2,2,1,0.286,5,2,2,0
Extragalactic Astronomy and Cosmology,133,109,3077,2304,30,25,3,52,46,68,52
Statistics and Probability,2,2,0,0,0,0,0,0,0,0,0
Center Systems Staff,21,9,202,4,2,1,0.167,15,2,1,0
Neuroscience Biology,11,11,41,41,3,3,0.75,7,7,1,1
Experimental and Theoretical Geochemistry,14,6,136,30,6,3,1.2,12,6,5,1
Biophysics,1011,761,19607,7505,55,36,5,105,48,461,264
Special Projects,1,1,2,2,1,1,1,1,1,0,0
Astronomical Sciences,475,354,17823,8291,66,49,0.033,114,74,302,194
Training,19,14,1634,22,6,3,0.462,19,5,2,0
Galactic Astronomy,22,19,362,142,8,7,0.667,20,12,8,5
"Language, Cognition, and Social Behavior",2,1,7,0,1,0,0.2,2,0,0,0
Cross-Disciplinary Activities,6,6,33,33,4,4,1.333,6,6,1,1
Climate Dynamics,30,28,219,152,8,7,1.333,15,12,5,3
Knowledge Models and Cognitive Systems,2,2,0,0,0,0,0,0,0,0,0
"Chemical, Thermal Systems",84,36,1533,288,24,10,2.182,37,15,42,11
Atmospheric Sciences,164,102,2193,677,26,13,2.364,41,23,68,20
Performance Evaluation and Benchmarking,1,0,7,0,1,0,1,1,0,0,0
Physiology and Behavior,2,2,13,13,1,1,0.5,2,2,1,1
Physical Chemistry,233,185,3032,1995,27,21,3,45,38,95,62
Manufacturing Processes and Equipment,2,2,23,23,2,2,2,2,2,2,2
"Metals, Ceramics, and Electronic Materials",10,10,88,88,5,5,1,10,10,3,3
Organic and Macromolecular Chemistry,100,74,2955,1388,33,25,3,52,35,67,44
Geography and Regional Science,24,13,440,111,11,4,1.222,21,11,11,3
Analytical and Surface Chemistry,5,4,70,64,4,3,0.8,5,4,3,3
Operations Research and Production Systems,3,3,0,0,0,0,0,0,0,0,0
Thermal Systems,12,12,52,52,5,5,1,8,8,3,3
Applied Mathematics,10,8,24,20,3,2,0.6,5,5,0,0
Engineering,137,118,919,435,15,10,1.875,27,18,21,10
Magnetospheric Physics,32,27,887,647,18,14,2,30,26,20,15
Design and Computer-Integrated Engineering,4,4,8,8,1,1,0.5,3,3,0,0
Algorithm Development,10,6,33,18,4,3,0.667,6,5,0,0
"Social, Behavioral, and Economic Sciences",2,1,95,1,1,1,0.2,2,1,1,0
Networking and Communications Research,17,16,20,16,3,2,0.429,5,4,0,0
Chemical and Reaction Processes,108,84,1727,936,24,16,2.182,38,28,47,29
Mechanics and Materials,96,88,1217,1070,20,18,2,31,30,36,31
Computer and Information Science and Engineering,38,35,46,45,4,4,0.308,7,7,1,1
Economics,7,7,3,3,1,1,0.333,2,2,0,0
Educational Infrastructure,11,10,33,32,4,4,0.667,6,6,0,0
Mathematical and Physical Sciences,6,6,22,22,3,3,1,5,5,0,0
Computer and Computation Research,44,27,149,47,7,4,0.778,12,7,5,1
"Atomic, Molecular, and Optical Physics",97,63,1274,561,20,12,2,33,23,42,18
Biological Sciences,23,23,375,375,9,9,2.25,20,20,8,8
Planetary Astronomy,19,12,179,49,9,5,0.818,14,7,8,2
Chemistry,665,410,19399,5832,59,37,4.538,118,62,347,152
Stellar Astronomy and Astrophysics,47,41,694,428,15,13,2.143,26,21,21,17
"Quantum Electronics, Waves, and Beams",19,18,414,56,5,4,0.455,19,8,3,2
Communications and Computational Systems,1,1,0,0,0,0,0,0,0,0,0
Biological Oceanography,2,2,11,11,2,2,1,2,2,0,0
Bioengineering Aiding the Disabled,26,21,196,98,9,6,1.286,14,10,8,4
Software Systems,4,4,2,2,1,1,0.25,2,2,0,0
Computer and Computation Theory,2,2,0,0,0,0,0,0,0,0,0
Mechanical and Structural Systems,24,7,544,173,14,5,1.75,24,7,17,4
Electrical and Communication Systems,106,53,4112,1484,33,23,3.3,63,39,71,32
Volcanology and Mantle Geochemistry,1,1,5,5,1,1,1,1,1,0,0
Humanities,1,1,0,0,0,0,0,0,0,0,0
"Interfacial, Transport, and Separations Processes",107,89,1565,1130,21,17,2.1,35,30,50,39
Solid-State and Microstructures,24,9,543,210,11,6,1.222,24,9,11,5
Theoretical Physics,36,16,896,241,15,7,0.882,30,16,21,7
Systematic and Population Biology,216,197,4218,3485,31,29,4.429,54,49,123,107
Engineering Centers,1,1,0,0,0,0,0,0,0,0,0
Humanities/Arts,2,2,1,1,1,1,0.25,1,1,0,0
Advanced Scientific Computing,102,63,1242,360,19,10,1.357,33,18,37,14
Seismology,16,14,98,78,7,6,1,10,9,6,4
"Visualization, Graphics, and Image Processing",11,11,9,9,2,2,0.4,3,3,0,0
Aeronomy,4,4,17,17,2,2,0.5,4,4,1,1
Meteorology,58,54,653,487,16,15,2,24,20,25,21
Environmental and Ocean Systems,2,2,16,16,2,2,2,2,2,1,1
Physical Oceanography,19,16,123,83,6,5,0.857,11,9,3,2
Computational Mathematics,45,31,631,163,12,8,1.5,25,12,15,7
"Information, Robotics, and Intelligent Systems",10,9,54,45,5,4,1,8,7,2,2
Ocean Sciences,68,53,1136,706,16,11,1.455,33,26,22,12
Molecular Biosciences,649,238,39252,5303,85,37,7.727,177,62,481,130
Biological and Critical Systems,20,6,485,52,12,4,1.5,20,6,13,2
Environmental Biology,1,0,40,0,1,0,1,1,0,1,0
Integrative Biology and Neuroscience,55,30,1112,200,17,8,0.654,33,14,23,6
Dynamic Systems and Control,19,6,637,35,10,3,0.769,19,6,10,2
Mathematical Sciences,10,6,22,1,2,1,0.167,5,1,1,0
Earthquake Hazard Mitigation,5,5,31,31,3,3,1.5,5,5,1,1
Sociology,2,2,0,0,0,0,0,0,0,0,0
"Inorganic, Bioinorganic, and Organometallic Chemistry",18,18,88,88,5,5,1,9,9,3,3
Behavioral and Neural Sciences,6,6,0,0,0,0,0,0,0,0,0
Polar Ocean and Climate Systems,9,6,200,68,7,5,1.4,9,6,7,4
Science and Engineering Education,3,1,11,0,2,0,0.25,3,0,0,0
Solar Terrestrial Research,28,22,391,104,9,6,1.125,20,11,9,3
Ecological Studies,9,4,51,1,3,1,0.429,8,1,3,0
Geophysics,29,23,373,242,13,8,1.625,20,16,13,7
Genetics and Nucleic Acids,33,27,2450,995,18,14,2.571,33,27,23,17
Engineering Systems,2,2,0,0,0,0,0,0,0,0,0
Biochemistry and Molecular Structure and Function,441,350,5947,3277,36,29,1.44,56,40,169,103
Earth Sciences,85,49,1523,372,21,12,1.909,37,18,41,15
Materials Research,945,723,18187,7735,62,41,5.167,104,60,390,221
Geology and Paleontology,1,1,10,10,1,1,1,1,1,1,1
Structures and Building Systems,7,5,66,30,4,3,1.333,7,5,2,1
Physics,272,192,5477,2517,43,24,2.048,64,44,126,65
Geosciences,36,24,511,166,13,7,1.444,23,13,14,4
Gravitational Physics,248,167,7717,2378,46,29,4.182,81,41,143,76
"Decision, Risk, and Management Science",1,1,8,8,1,1,1,1,1,0,0
Cell Biology,13,13,232,232,8,8,1.6,13,13,7,7
Social and Economic Science,3,3,15,15,2,2,0.667,3,3,0,0
Elementary Particle Physics,98,46,9786,1163,23,13,1.533,98,35,37,13
Surface Engineering and Tribology,7,7,11,11,2,2,0.5,3,3,0,0
Solid State Chemistry and Polymers,6,6,22,22,3,3,1,5,5,0,0
